lemma	bin_tag	mim_tag	freq	rank	ind	manual_en	pre_kw	kw	post_kw	ipa_sd	full_cat	full_cat_en	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce
steinn	kk	nk	1497	1306	5174	stone	Þyngsti	steinninn	vó um 40 kíló.	steitn̥	Nafnorð	Noun	m.	2K									stein	steini	steins	steinar	steina	steinum	steina											steinn.mp3
blár	lo	l	1496	1308	408186	blue		Bláa	lónið hefur átt mikilli velgengni að fagna síðustu árin.	plauːr	Lýsingarorð	Adjective	adj.	2K																					blár  --  blá -- blátt	blárri -- blárri -- blárra	bláastur -- bláust -- bláast			blár.mp3
gjald	hk	nh	1496	1308	1286	payment, fee, charge		Gjöld	á áfengi , tóbak og bensín verða hækkuð.	calt	Nafnorð	Noun	n.	2K									gjald	gjaldi	gjalds	gjöld	gjöld	gjöldum	gjalda											gjald.mp3
spá	so	s	1496	1308	436175	predict, forecast		Spáð	er sæmilegu veðri í flestum landshlutum.	spauː	Sagnorð	Verb	v.	2K	spái	spáir	spáir	spáði	spáðir	spáði	spáð																			spá.mp3
tjá	so	s	1493	1310	436193	express, communicate; inform	Hann vildi að öðru leyti ekki	tjá	sig um málið.	tʰjauː	Sagnorð	Verb	v.	2K	tjái	tjáir	tjáir	tjáði	tjáðir	tjáði	tjáð																			tjá.mp3
henta	so	s	1492	1311	466692	suit, fit in	Það myndi	henta	hagsmunum þeirra betur.	hɛn̥ta	Sagnorð	Verb	v.	2K	henta	hentar	hentar	hentaði	hentaðir	hentaði	hentað																			henta.mp3
alvara	kvk	nv	1489	1312	15520	seriousness, earnestness	Ekkert af þessum tilboðum hafi hinsvegar verið sett fram í	alvöru	.	alvara	Nafnorð	Noun	f.	2K									alvöru	alvöru	alvöru															alvara.mp3
daglegur	lo	l	1488	1313	390234	daily	Þetta hefur heilmikil áhrif á	daglegt	líf fólks.	taɣlɛɣʏr	Lýsingarorð	Adjective	adj.	2K																					daglegur  --  dagleg -- daglegt	daglegri -- daglegri -- daglegra	daglegastur -- daglegust -- daglegast			daglegur.mp3
uppfylla	so	s	1487	1314	435525	fulfil	Flugeldaverksmiðjan er sú fyrsta til að	uppfylla	nýja öryggisstaðla.	ʏhpfɪtla	Sagnorð	Verb	v.	2K	uppfylli	uppfyllir	uppfyllir	uppfyllti	uppfylltir	uppfyllti	uppfyllt																			uppfylla.mp3
flug	hk	nh	1486	1315	1102	flight, aviation	Töluverð seinkun var því á	fluginu	til Keflavíkur.	flʏːɣ	Nafnorð	Noun	n.	2K									flug	flugi	flugs	flug	flug	flugum	fluga											flug.mp3
hagur	kk	nk	1485	1316	6813	circumstances; advantage	Það sé erfitt að sjá að þetta breyti	hag	nokkurs manns.	haːɣʏr	Nafnorð	Noun	m.	2K									hag	hag	hags	hagir	hagi	högum	haga											hagur.mp3
áramót	hk	nh	1483	1317	51255	new year	Bóluefnið komi síðan til Íslands í fjórum sendingum fram að	áramótum	.	auːramout	Nafnorð	Noun	n.	2K												áramót	áramót	áramótum	áramóta											áramót.mp3
fullyrða	so	s	1480	1318	434723	maintain, declare, assert	Þetta	fullyrðir	breska dagblaðið The Daily Telegraph.	fʏtlɪrða	Sagnorð	Verb	v.	2K	fullyrði	fullyrðir	fullyrðir	fullyrti	fullyrtir	fullyrti	fullyrt																			fullyrða.mp3
gæði	hk	nh	1479	1319.5	1449	quality; kindness	Aðalatriðið er að	gæðin	aukist.	caiːðɪ	Nafnorð	Noun	n.	2K												gæði	gæði	gæðum	gæða											gæði.mp3
jafnaður	kk	nk	1479	1319.5	390846	(always used in multi-word expression, 'að jafnaði') usually, generally	Ráðherrar hafa að	jafnaði	tíu daga til að svara slíkum fyrirspurnum.	japnaðʏr	Nafnorð	Noun	m.	2K									jafnað	jafnaði	jafnaðar															jafnaður.mp3
lyfta	so	s	1478	1321	427595	lift, raise	Ég finn að landið er að	lyftast	.	lɪfta	Sagnorð	Verb	v.	2K	lyfti	lyftir	lyftir	lyfti	lyftir	lyfti	lyft																			lyfta.mp3
margvíslegur	lo	l	1477	1322.5	391179	varied, multifarious	Þetta hefði	margvísleg	áhrif í bæjarfélaginu að mati heimamanna.	markvistlɛɣʏr	Lýsingarorð	Adjective	adj.	2K																					margvíslegur  --  margvísleg -- margvíslegt	margvíslegri -- margvíslegri -- margvíslegra	margvíslegastur -- margvíslegust -- margvíslegast			margvíslegur.mp3
samkynhneigður	lo	l	1477	1322.5	468481	homosexual		Samkynhneigðum	karlmönnum er ekki heimilt að gefa blóð á Íslandi.	samcʰɪneiɣðʏr	Lýsingarorð	Adjective	adj.	2K																					samkynhneigður  --  samkynhneigð -- samkynhneigt					samkynhneigður.mp3
átta	to	t	1476	1325.5	495420	eight		Átta	síldveiðiskip eru nú að veiðum á Drekasvæðinu.	auhta	Töluorð	Numeral	num.	2K								átta																		átta.mp3
sýslumaður	kk	nk	1475	1328	88881	district magistrate	Þessar aðgerðir	sýslumannsins	samræmdust ekki þeim tilmælum.	sistlʏmaðʏr	Nafnorð	Noun	m.	2K									sýslumann	sýslumanni	sýslumanns	sýslumenn	sýslumenn	sýslumönnum	sýslumanna											sýslumaður.mp3
þola	so	s	1474	1329	435724	stand, withstand; tolerate, put up with; suffer, endure	Íslenski hesturinn	þoli	bæði þannig mikinn kulda og fæðuskort.	θɔːla	Sagnorð	Verb	v.	2K	þoli	þolir	þolir	þoldi	þoldir	þoldi	þolað																			þola.mp3
greitt	ao	a	1471	1330	402523	fast, quickly	Þá segir hún dæmi um að fólk fái	greitt	undir lágmarkslaunum.	kreiht	Atviksorð	Adverb	adv.	2K																								greiðar	greiðast	greitt.mp3
athuga	so	s	1469	1331	419415	look into; observe	Forsvarsmenn borgarinnar ætla að	athuga	málið.	aːthʏɣa	Sagnorð	Verb	v.	2K	athuga	athugar	athugar	athugaði	athugaðir	athugaði	athugað																			athuga.mp3
fjölbreyttur	lo	l	1467	1332	177135	varied, many-sided, diverse		Fjölbreytt	dagskrá er víða um land í tilefni dagsins.	fjœlpreihtʏr	Lýsingarorð	Adjective	adj.	2K																					fjölbreyttur  --  fjölbreytt -- fjölbreytt	fjölbreyttari -- fjölbreyttari -- fjölbreyttara	fjölbreyttastur -- fjölbreyttust -- fjölbreyttast			fjölbreyttur.mp3
gjöf	kvk	nv	1466	1333	10722	gift, present; feeding; dealing (of cards)	Þetta er besta	gjöf	sem ég hef fengið.	cœːv	Nafnorð	Noun	f.	2K									gjöf	gjöf	gjafar	gjafir	gjafir	gjöfum	gjafa											gjöf.mp3
lofa	so	s	1462	1334	421760	promise; praise; permit	Hann	lofar	flottri fjögurra daga hátíð.	lɔːva	Sagnorð	Verb	v.	2K	lofa	lofar	lofar	lofaði	lofaðir	lofaði	lofað																			lofa.mp3
háttvirtur	lo	l	1459	1335.5	176824	honored, distinguished	Þetta er það sem	háttvirtur	þingmaður er að segja.	hauhtvɪr̥tʏr	Lýsingarorð	Adjective	adj.	2K																					háttvirtur  --  háttvirt -- háttvirt					háttvirtur.mp3
lifandi	lo	l	1459	1335.5	164647	alive, living	Verð á	lifandi	hænum hefur rokið upp í Bretlandi undanfarin ár.	lɪːvantɪ	Lýsingarorð	Adjective	adj.	2K																					lifandi  --  lifandi -- lifandi					lifandi.mp3
hérlendis	ao	a	1458	1337	496047	in this country	Engin tilfelli hafa verið greind	hérlendis	enn sem komið er.	çɛrlɛntɪs	Atviksorð	Adverb	adv.	2K								hérlendis																		hérlendis.mp3
stóll	kk	nk	1457	1338	4753	chair	Nýju húsgögnin eru öll úr eik og	stólarnir	klæddir leðri.	stoutl̥	Nafnorð	Noun	m.	2K									stól	stól	stóls	stólar	stóla	stólum	stóla											stóll.mp3
fimmtudagur	kk	nk	1456	1339	86859	Thursday	Kosningin opnaði í gær og á henni að ljúka á	fimmtudaginn	.	fɪm̥tʏtaɣʏr	Nafnorð	Noun	m.	2K									fimmtudag	fimmtudegi	fimmtudags	fimmtudagar	fimmtudaga	fimmtudögum	fimmtudaga											fimmtudagur.mp3
atvik	hk	nh	1451	1340.5	71398	incident, occurrence	Þyrlan var á leið í útkall þegar	atvikið	átti sér stað.	aːtvɪk	Nafnorð	Noun	n.	2K									atvik	atviki	atviks	atvik	atvik	atvikum	atvika											atvik.mp3
gildandi	lo	l	1451	1340.5	390596	approved, current	Um þetta eru engar reglur samkvæmt	gildandi	stjórnarskrá.	cɪltantɪ	Lýsingarorð	Adjective	adj.	2K																					gildandi  --  gildandi -- gildandi					gildandi.mp3
ofbeldi	hk	nh	1450	1342	470980	violence, force		Ofbeldið	getur verið líkamlegt , andlegt , hótanir eða ógnun.	ɔvpɛltɪ	Nafnorð	Noun	n.	2K									ofbeldi	ofbeldi	ofbeldis															ofbeldi.mp3
athyglisverður	lo	l	1447	1343	413272	intriguing, notable, interesting		Athyglisvert	er að í 10 efstu sætunum eru allar Norðurlandaþjóðirnar.	atʰɪklɪsvɛrðʏr	Lýsingarorð	Adjective	adj.	2K																					athyglisverður  --  athyglisverð -- athyglisvert	athyglisverðari -- athyglisverðari -- athyglisverðara	athyglisverðastur -- athyglisverðust -- athyglisverðast			athyglisverður.mp3
verðlaun	hk	nh	1446	1344.5	44024	award; reward	Íslenska óperan fékk þrenn	verðlaun	.	vɛrðlœin	Nafnorð	Noun	n.	2K												verðlaun	verðlaun	verðlaunum	verðlauna											verðlaun.mp3
vinnustaður	kk	nk	1446	1344.5	82835	workplace	Styttri vinnuvika er orðin að veruleika á tveimur	vinnustöðum	Reykjavíkurborgar.	vɪnʏstaðʏr	Nafnorð	Noun	m.	2K									vinnustað	vinnustað	vinnustaðar	vinnustaðir	vinnustaði	vinnustöðum	vinnustaða											vinnustaður.mp3
hótel	hk	nh	1445	1346	484931	hotel	Hann hefur líka valdið ónáði á	hótelum	í miðborginni.	houːtɛl	Nafnorð	Noun	n.	2K									hótel	hóteli	hótels	hótel	hótel	hótelum	hótela											hótel.mp3
handa	fs	a	1443	1347.5	495289	for	Tilgangurinn er að safna peningum fyrir skólagögnum	handa	börnunum.	hanta	Forsetning	Preposition	prep.	2K								handa																		handa.mp3
hlutabréf	hk	nh	1443	1347.5	21902	share, stock certificate; stock	Þar í landi er algengt að fjölskyldur eigi	hlutabréf	.	l̥ʏːtaprjɛf	Nafnorð	Noun	n.	2K									hlutabréf	hlutabréfi	hlutabréfs	hlutabréf	hlutabréf	hlutabréfum	hlutabréfa											hlutabréf.mp3
léttur	lo	l	1442	1349	166149	light; easy; cheerful	Boðið verður upp á	léttar	veitingar og skemmtun í kjölfarið.	ljɛhtʏr	Lýsingarorð	Adjective	adj.	2K																					léttur  --  létt -- létt	léttari -- léttari -- léttara	léttastur -- léttust -- léttast			léttur.mp3
vonandi	ao	a	1440	1350	495849	hopefully	En það kemur	vonandi	í ljós þegar líður á daginn.	vɔːnantɪ	Atviksorð	Adverb	adv.	2K								vonandi																		vonandi.mp3
eldur	kk	nk	1439	1351.5	6087	fire	Húsið var mannlaust þegar	eldurinn	kom upp.	ɛltʏr	Nafnorð	Noun	m.	2K									eld	eldi	elds	eldar	elda	eldum	elda											eldur.mp3
jafnan	ao	a	1439	1351.5	495641	usually, as a rule	Niðurstaðan sýndi að þeir sem eru ríkari eru	jafnan	hamingjusamari.	japnan	Atviksorð	Adverb	adv.	2K								jafnan																		jafnan.mp3
eyra	hk	nh	1437	1353	4317	ear	Við trúðum vart eigin augum og	eyrum	, segir fararstjóri hópsins.	eiːra	Nafnorð	Noun	n.	2K									eyra	eyra	eyra	eyru	eyru	eyrum	eyrna											eyra.mp3
ætt	kvk	nv	1435	1354.5	10553	family	Hann eigi stórar fjölskyldur í báðar	ættir	.	aiht	Nafnorð	Noun	f.	2K									ætt	ætt	ættar	ættir	ættir	ættum	ætta											ætt.mp3
sjóður	kk	nk	1435	1354.5	6885	fund; treasure		Sjóðurinn	gerir þó nokkrar athugasemdir við frumvarpið.	sjouːðʏr	Nafnorð	Noun	m.	2K									sjóð	sjóði	sjóðs	sjóðir	sjóði	sjóðum	sjóða											sjóður.mp3
elska	so	s	1433	1356	419928	love	Ég treysti henni fyrir öllu og ég	elska	hana.	ɛlska	Sagnorð	Verb	v.	2K	elska	elskar	elskar	elskaði	elskaðir	elskaði	elskað																			elska.mp3
áhorfandi	kk	nk	1429	1357	297770	viewer, spectator	Hávaðinn var gríðarlegur og	áhorfendur	þurftu að halda fyrir eyrun.	auːhɔrvantɪ	Nafnorð	Noun	m.	2K									áhorfanda	áhorfanda	áhorfanda	áhorfendur	áhorfendur	áhorfendum	áhorfenda											áhorfandi.mp3
hádegi	hk	nh	1428	1358	23473	midday, noon	Kosningunni lýkur á	hádegi	á morgun.	hauːteijɪ	Nafnorð	Noun	n.	2K									hádegi	hádegi	hádegis	hádegi	hádegi	hádegum	hádega											hádegi.mp3
óbreyttur	lo	l	1426	1359	177136	unchanged; simple, common	Allir skilmálar haldast	óbreyttir	.	ouːpreihtʏr	Lýsingarorð	Adjective	adj.	2K																					óbreyttur  --  óbreytt -- óbreytt	óbreyttari -- óbreyttari -- óbreyttara	óbreyttastur -- óbreyttust -- óbreyttast			óbreyttur.mp3
varðveita	so	s	1422	1360	435559	preserve	Þór segir mikilvægt að	varðveita	gömul hús.	varðveita	Sagnorð	Verb	v.	2K	varðveiti	varðveitir	varðveitir	varðveitti	varðveittir	varðveitti	varðveitt																			varðveita.mp3
dýr	lo	l	1421	1361	448386	expensive, costly, precious	Reykjavík er sjöunda	dýrasta	borg í heimi.	tiːr	Lýsingarorð	Adjective	adj.	2K																					dýr  --  dýr -- dýrt	dýrari -- dýrari -- dýrara	dýrastur -- dýrust -- dýrast			dýr.mp3
athugun	kvk	nv	1419	1362	473928	observation; examination	Við	athugun	hafi ekki komið fram vísbendingar um slíkt.	aːthʏɣʏn	Nafnorð	Noun	f.	2K									athugun	athugun	athugunar	athuganir	athuganir	athugunum	athugana											athugun.mp3
gleði	kvk	nv	1417	1363.5	11117	happiness, joy	Þannig að mikið af þessari	gleði	fer auðvitað fram utandyra.	klɛːðɪ	Nafnorð	Noun	f.	2K									gleði	gleði	gleði	gleðir	gleðir	gleðum	gleða											gleði.mp3
horn	hk	nh	1417	1363.5	1631	horn; corner; angle	Húsið stendur á	horni	Grettisgötu og Barónsstígs.	hɔrtn̥	Nafnorð	Noun	n.	2K									horn	horni	horns	horn	horn	hornum	horna											horn.mp3
fjármagn	hk	nh	1413	1365	473750	capital, money; budget	En markmiðið er klárlega að tryggja	fjármagn	.	fjaurmakn̥	Nafnorð	Noun	n.	2K									fjármagn	fjármagni	fjármagns															fjármagn.mp3
henda	so	s	1412	1366	466691	throw; chuck	Hann	hendir	ekki farsímum sínum þegar nýr er keyptur.	hɛnta	Sagnorð	Verb	v.	2K	hendi	hendir	hendir	henti	hentir	henti	hent																			henda.mp3
hagnaður	kk	nk	1409	1367	390664	profit, gain	Athygli vekur að þetta er töluvert meiri	hagnaður	en árið áður.	haknaðʏr	Nafnorð	Noun	m.	2K									hagnað	hagnaði	hagnaðar															hagnaður.mp3
bifreið	kvk	nv	1407	1368	117218	vehicle, car	Báðar	bifreiðarnar	eru óökufærar eftir áreksturinn.	pɪvreið	Nafnorð	Noun	f.	2K									bifreið	bifreið	bifreiðar	bifreiðar	bifreiðar	bifreiðum	bifreiða											bifreið.mp3
hönnun	kvk	nv	1406	1369.5	12775	design	Jólagjöfin í ár er íslensk	hönnun	.	hœnʏn	Nafnorð	Noun	f.	2K									hönnun	hönnun	hönnunar															hönnun.mp3
stýra	so	s	1406	1369.5	435416	steer, be at the wheel; direct	Seðlabankinn	stýri	þeim aðgerðum.	stiːra	Sagnorð	Verb	v.	2K	stýri	stýrir	stýrir	stýrði	stýrðir	stýrði	stýrt																			stýra.mp3
kjör	hk	nh	1404	1371	486362	election; conditions, terms		Kjör	íslenskra bænda myndu hins vegar skerðast.	cʰœːr	Nafnorð	Noun	n.	2K									kjör	kjöri	kjörs	kjör	kjör	kjörum	kjara											kjör.mp3
kollur	kk	nk	1403	1372.5	6098	stool; head; top of the head	Nú er sá tími ársins að slíkir sveppir skjóta upp	kollinum	.	kʰɔtlʏr	Nafnorð	Noun	m.	2K									koll	kolli	kolls	kollar	kolla	kollum	kolla											kollur.mp3
veikindi	hk	nh	1403	1372.5	3984	illness	Þá hyggst hún draga sig í hlé frá stjórnmálum vegna	veikinda	.	veiːcɪntɪ	Nafnorð	Noun	n.	2K												veikindi	veikindi	veikindum	veikinda											veikindi.mp3
dómari	kk	nk	1401	1374.5	7841	judge; referee, umpire		Dómari	tók sér frest til hádegis í dag.	touːmarɪ	Nafnorð	Noun	m.	2K									dómara	dómara	dómara	dómarar	dómara	dómurum	dómara											dómari.mp3
samráð	hk	nh	1401	1374.5	54576	consultation	Þetta er gert í	samráði	við Umhverfisstofnun.	samrauð	Nafnorð	Noun	n.	2K									samráð	samráði	samráðs	samráð	samráð	samráðum	samráða											samráð.mp3
bjartur	lo	l	1400	1376.5	166136	bright, clear	Óvenju	bjart	stjörnuhrap vakti athygli um miðnætti í gær.	pjar̥tʏr	Lýsingarorð	Adjective	adj.	2K																					bjartur  --  björt -- bjart	bjartari -- bjartari -- bjartara	bjartastur -- björtust -- bjartast			bjartur.mp3
vilji	kk	nk	1400	1376.5	394372	will, intention	Þarna verður	vilji	íbúa látinn ráða.	vɪljɪ	Nafnorð	Noun	m.	2K									vilja	vilja	vilja															vilji.mp3
hjónaband	hk	nh	1399	1378	18353	marriage	Lögum um	hjónabönd	verður hugsanlega breytt.	çouːnapant	Nafnorð	Noun	n.	2K									hjónaband	hjónabandi	hjónabands	hjónabönd	hjónabönd	hjónaböndum	hjónabanda											hjónaband.mp3
yfirvald	hk	nh	1398	1379	393467	authority	Þeir furða sig á áhyggjuleysi	yfirvalda	í aðdraganda hrunsins.	ɪːvɪrvalt	Nafnorð	Noun	n.	2K									yfirvald	yfirvaldi	yfirvalds	yfirvöld	yfirvöld	yfirvöldum	yfirvalda											yfirvald.mp3
stafa	so	s	1397	1380	424778	spell; spell out	Fyrst var talið að veikindi mannanna	stöfuðu	af matareitrun eða timburmönnum.	staːva	Sagnorð	Verb	v.	2K	stafa	stafar	stafar	stafaði	stafaðir	stafaði	stafað																			stafa.mp3
smám	ao	a	1395	1381	495760	gradually	Leiðtogi auðvitað verður til	smám	saman.	smauːm	Atviksorð	Adverb	adv.	2K								smám																		smám.mp3
persónulegur	lo	l	1394	1382.5	391615	personal, private	Feðgarnir eru í	persónulegri	ábyrgð fyrir skuldinni.	pʰɛr̥sounʏlɛɣʏr	Lýsingarorð	Adjective	adj.	2K																					persónulegur  --  persónuleg -- persónulegt	persónulegri -- persónulegri -- persónulegra	persónulegastur -- persónulegust -- persónulegast			persónulegur.mp3
sigla	so	s	1394	1382.5	435251	sail	Skipstjórinn brá þá á það ráð að	sigla	bátnum nær landi.	sɪkla	Sagnorð	Verb	v.	2K	sigli	siglir	siglir	sigldi	sigldir	sigldi	siglt																			sigla.mp3
bót	kvk	nv	1392	1384	11101	remedy, cure; patch; compensation		Bæturnar	eiga að vera skattfrjálsar.	pouːt	Nafnorð	Noun	f.	2K									bót	bót	bótar	bætur	bætur	bótum	bóta											bót.mp3
sjómaður	kk	nk	1390	1385	88710	fisherman, seaman		Sjómenn	eru nú bjartsýnir í ljósi þessara nýju frétta.	sjouːmaðʏr	Nafnorð	Noun	m.	2K									sjómann	sjómanni	sjómanns	sjómenn	sjómenn	sjómönnum	sjómanna											sjómaður.mp3
breyttur	lo	l	1389	1386.5	390123	changed, different	Því hafa verið uppi kröfur um	breytt	vinnubrögð.	preihtʏr	Lýsingarorð	Adjective	adj.	2K																					breyttur  --  breytt -- breytt	breyttari -- breyttari -- breyttara	breyttastur -- breyttust -- breyttast			breyttur.mp3
skella	so	s	1389	1386.5	434327	chrash, bang, collide	Vélin	skall	á húsi á eyjunni Jövu.	scɛtla	Sagnorð	Verb	v.	2K	skell	skellur	skellur	skall	skallst	skall	skollið																			skella.mp3
skella	so	s	1389	1386.5	435265	slam sth; ('skella sér') go for sth	Þar var haldið gömludansaball og fólk	skellti	sér í aldamótaklæði.	scɛtla	Sagnorð	Verb	v.	2K	skelli	skellir	skellir	skellti	skelltir	skellti	skellt																			skella.mp3
skattur	kk	nk	1388	1388	6396	tax		Skatturinn	yrði hins vegar greiddur af launþegum þessa lands.	skahtʏr	Nafnorð	Noun	m.	2K									skatt	skatti	skatts	skattar	skatta	sköttum	skatta											skattur.mp3
öðlast	so	s	1387	1389.5	478121	obtain, get	Annar þeirra hafði ekki	öðlast	ökuréttindi.	œðlast	Sagnorð	Verb	v.	2K	öðlast	öðlast	öðlast	öðlaðist	öðlaðist	öðlaðist	öðlast																			öðlast.mp3
sænskur	lo	l	1387	1389.5	408910	Swedish		Sænsk	rannsókn sýnir svipaðar niðurstöður.	sainskʏr	Lýsingarorð	Adjective	adj.	2K																					sænskur  --  sænsk -- sænskt	sænskari -- sænskari -- sænskara	sænskastur -- sænskust -- sænskast			sænskur.mp3
kær	lo	l	1386	1391	448404	dear, beloved		Kærar	þakkir.	cʰaiːr	Lýsingarorð	Adjective	adj.	2K																					kær  --  kær -- kært	kærari -- kærari -- kærara	kærastur -- kærust -- kærast			kær.mp3
sýn	kvk	nv	1385	1392	10560	sight, view; vision	Við fyrstu	sýn	virðist þó sem þeim hafi ekki fjölgað.	siːn	Nafnorð	Noun	f.	2K									sýn	sýn	sýnar	sýnir	sýnir	sýnum	sýna											sýn.mp3
tilkynning	kvk	nv	1381	1393	133411	notification, announcement	Slökkviliðinu barst	tilkynning	um eldinn um hálf ellefu leytið í gærkvöldi.	tʰɪlcʰɪniŋk	Nafnorð	Noun	f.	2K									tilkynningu	tilkynningu	tilkynningar	tilkynningar	tilkynningar	tilkynningum	tilkynninga											tilkynning.mp3
norður	ao	a	1380	1394.5	465383	north	Bátarnir eru farnir	norður	fyrir land til frekari rækjuveiða.	nɔrðʏr	Atviksorð	Adverb	adv.	2K																								norðar	nyrst	norður.mp3
ytri	lo	l	1380	1394.5	435692	outer, further out; external	Skipstjórinn hlýddi fyrirmælum í nótt og beygði út á	ytri	leiðina.	ɪtrɪ	Lýsingarorð	Adjective	adj.	2K																					ytri  --  	ytri -- ytri -- ytra	ystur -- yst -- yst			ytri.mp3
umtalsverður	lo	l	1377	1396	413456	considerable, substantial	Þetta er	umtalsverð	fjölgun.	ʏmtʰalsvɛrðʏr	Lýsingarorð	Adjective	adj.	2K																					umtalsverður  --  umtalsverð -- umtalsvert					umtalsverður.mp3
auglýsa	so	s	1375	1397	434509	advertise, promote	Enginn sótti um þegar starfið var	auglýst	í síðasta mánuði.	œiɣlisa	Sagnorð	Verb	v.	2K	auglýsi	auglýsir	auglýsir	auglýsti	auglýstir	auglýsti	auglýst																			auglýsa.mp3
kjöt	hk	nh	1374	1398	1970	meat		Kjötið	verður selt á Japansmarkaði.	cʰœːt	Nafnorð	Noun	n.	2K									kjöt	kjöti	kjöts															kjöt.mp3
kynslóð	kvk	nv	1373	1399	120101	generation	Nokkuð hefur hins vegar fjölgað í annarri	kynslóð	innflytjenda.	cʰɪnstlouð	Nafnorð	Noun	f.	2K									kynslóð	kynslóð	kynslóðar	kynslóðir	kynslóðir	kynslóðum	kynslóða											kynslóð.mp3
sannarlega	ao	a	1370	1400	497701	truly, really	Það var kominn svo	sannarlega	tími á þetta.	sanarlɛɣa	Atviksorð	Adverb	adv.	2K								sannarlega																		sannarlega.mp3
borgari	kk	nk	1369	1402	7799	citizen	Flestir sem þurfa á slíkri aðgerð að halda eru eldri	borgarar	.	pɔrkarɪ	Nafnorð	Noun	m.	2K									borgara	borgara	borgara	borgarar	borgara	borgurum	borgara											borgari.mp3
stöðva	so	s	1369	1402	423615	stop	Einn ökumaður var	stöðvaður	, grunaður um akstur undir áhrifum áfengis.	stœðva	Sagnorð	Verb	v.	2K	stöðva	stöðvar	stöðvar	stöðvaði	stöðvaðir	stöðvaði	stöðvað																			stöðva.mp3
vísindamaður	kk	nk	1369	1402	89137	scientist		Vísindamenn	vara við gosdrykkjadrykkju.	viːsɪntamaðʏr	Nafnorð	Noun	m.	2K									vísindamann	vísindamanni	vísindamanns	vísindamenn	vísindamenn	vísindamönnum	vísindamanna											vísindamaður.mp3
salur	kk	nk	1368	1404	5662	hall, assembly-room	Stóri	salur	Háskólabíós var nær fullsetinn.	saːlʏr	Nafnorð	Noun	m.	2K									sal	sal	salar	salir	sali	sölum	sala											salur.mp3
franskur	lo	l	1367	1405	408863	French		Franskir	verkamenn neita að vinna meira en 35 stunda vinnuviku.	franskʏr	Lýsingarorð	Adjective	adj.	2K																					franskur  --  frönsk -- franskt	franskari -- franskari -- franskara	franskastur -- frönskust -- franskast			franskur.mp3
hvíla	so	s	1366	1406	434903	rest; lie, sleep	Við höfum aldrei getað látið þetta	hvíla	í friði.	kʰviːla	Sagnorð	Verb	v.	2K	hvíli	hvílir	hvílir	hvíldi	hvíldir	hvíldi	hvílt																			hvíla.mp3
burt	ao	a	1362	1407.5	495505	away	Atvinnuleysi er mein sem skera þarf	burt	.	pœr̥t	Atviksorð	Adverb	adv.	2K								burt																		burt.mp3
fangelsi	hk	nh	1362	1407.5	977	prison	Slíkt getur varðað allt að sex ára	fangelsi	.	fauɲcɛlsɪ	Nafnorð	Noun	n.	2K									fangelsi	fangelsi	fangelsis	fangelsi	fangelsi	fangelsum	fangelsa											fangelsi.mp3
hættulegur	lo	l	1361	1409	390816	dangerous	En það eru fleiri	hættulegir	vegir á þessu svæði.	haihtʏlɛɣʏr	Lýsingarorð	Adjective	adj.	2K																					hættulegur  --  hættuleg -- hættulegt	hættulegri -- hættulegri -- hættulegra	hættulegastur -- hættulegust -- hættulegast			hættulegur.mp3
stækka	so	s	1360	1410	423612	enlarge, expand	Sumar stöðvar er ekkert hægt að	stækka	.	staihka	Sagnorð	Verb	v.	2K	stækka	stækkar	stækkar	stækkaði	stækkaðir	stækkaði	stækkað																			stækka.mp3
ósk	kvk	nv	1359	1411	10508	wish, request	Ekki hefur verið brugðist við	óskum	þess efnis.	ousk	Nafnorð	Noun	f.	2K									ósk	ósk	óskar	óskir	óskir	óskum	óska											ósk.mp3
óháður	lo	l	1356	1412	176500	independent	Lagt er til að skipuð verði þriggja manna	óháð	rannsóknarnefnd.	ouːhauðʏr	Lýsingarorð	Adjective	adj.	2K																					óháður  --  óháð -- óháð	óháðari -- óháðari -- óháðara	óháðastur -- óháðust -- óháðast			óháður.mp3
staddur	lo	l	1354	1413.5	389434	situated	Nú erum við	stödd	í miðri ánni.	statʏr	Lýsingarorð	Adjective	adj.	2K																					staddur  --  stödd -- statt					staddur.mp3
völlur	kk	nk	1354	1413.5	5715	field, lawn; airport	Einn glæsilegasti	völlur	landsins er á Suðurlandi , Kiðjabergsvöllur.	vœtlʏr	Nafnorð	Noun	m.	2K									völl	velli	vallar	vellir	velli	völlum	valla											völlur.mp3
ýmist	st	c	1352	1415	495380	either	Hin skipin eru	ýmist	á heimleið eða komin heim.	iːmɪst	Samtenging	Conjuction	conj.	2K								ýmist																		ýmist.mp3
fagur	lo	l	1350	1416	164968	beautiful	Íslenskt listalíf skartar sínu	fegursta	á annan í jólum.	faːɣʏr	Lýsingarorð	Adjective	adj.	2K																					fagur  --  fögur -- fagurt	fegurri -- fegurri -- fegurra	fegurstur -- fegurst -- fegurst			fagur.mp3
