lemma	bin_tag	mim_tag	freq	rank	ind	manual_en	pre_kw	kw	post_kw	ipa_sd	full_cat	full_cat_en	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce
frá	fs	a	89205	49.5	495282	from, away from	Hann hlaut meistarapróf í hagfræði	frá	Oslóarháskóla árið 1985.	frauː	Forsetning	Preposition	prep.	1K								frá																		frá.mp3
eða	st	c	87319	51	495353	or	Langflestir	eða	rúmlega 9 þúsund manns eru atvinnulausir á höfuðborgarsvæðinu.	ɛːða	Samtenging	Conjuction	conj.	1K								eða																		eða.mp3
sinn	fn	fe	81710	52	478793	his, her, their	Forsetinn segir þetta gefa ranga mynd af samtali	sínu	.	sɪn	Fornafn	Pronoun	pron.	1K																sínir -- sínar -- sín	sinn  --  sín -- sitt									sinn.mp3
fara	so	s	81319	53	433568	leave, go	Um 100 þúsund manns	fóru	í mótmælagöngu í Dublin í gær.	faːra	Sagnorð	Verb	v.	1K	fer	ferð	fer	fór	fórst	fór	farið																			fara.mp3
eftir	fs	a	79789	55	495278	after; along; by	Svarendur skiptust jafnt	eftir	kyni og landshlutum.	ɛftɪr	Forsetning	Preposition	prep.	1K								eftir																		eftir.mp3
geta	so	s	79746	57	479125	be able to; achieve; guess	Hún segir að niðurstaða	geti	orðið í viðræðunum innan viku.	cɛːta	Sagnorð	Verb	v.	1K	get	getur	getur	gat	gast	gat	getið																			geta.mp3
þá	ao	a	78406	58	495859	at that time, then	Við verðum	þá	tilbúin að taka þátt í henni.	θauː	Atviksorð	Adverb	adv.	1K								þá																		þá.mp3
gera	so	s	76686	59	434755	do; make	Og það vildi hún ekki	gera	.	cɛːra	Sagnorð	Verb	v.	1K	geri	gerir	gerir	gerði	gerðir	gerði	gert																			gera.mp3
taka	so	s	76431	60	434360	take; accept	Við verðum þá tilbúin að	taka	þátt í henni.	tʰaːka	Sagnorð	Verb	v.	1K	tek	tekur	tekur	tók	tókst	tók	tekið																			taka.mp3
þegar	st	c	75933	61	495383	when	Sjóðurinn verður því líklegast orðinn tómur	þegar	líður á haustið.	θɛːɣar	Samtenging	Conjuction	conj.	1K								þegar																		þegar.mp3
mikill	lo	l	75043	62	165052	much; large; great	Ísland er	mesta	kvikmyndaframleiðsluríki veraldar , sé tekið mið af höfðatölu.	mɪːcɪtl̥	Lýsingarorð	Adjective	adj.	1K																					mikill  --  mikil -- mikið	meiri -- meiri -- meira	mestur -- mest -- mest			mikill.mp3
svo	ao	a	71877	63	495784	so; thus; thereafter	Margir bíða	svo	spenntir að sjá hvað Guðlaugur Þór Þórðarson gerir.	svɔː	Atviksorð	Adverb	adv.	1K								svo																		svo.mp3
hver	fn	fs	70660	64.5	478801	who; each	Þjófarnir komust undan og er ekki vitað	hverjir	þeir eru.	kʰvɛr	Fornafn	Pronoun	pron.	1K																hverjir -- hverjar -- hver	hver  --  hver -- hvert									hver.mp3
eiga	so	s	67566	66	427488	own; have; should	Það sé vegna þess að hún	eigi	von á barni.	eiːɣa	Sagnorð	Verb	v.	1K	á	átt	á	átti	áttir	átti	átt																			eiga.mp3
maður	kk	nk	63544	67	5763	man; person, human being	Þeir komust þó upp með hjálp nálægra	manna	.	maːðʏr	Nafnorð	Noun	m.	1K									mann	manni	manns	menn	menn	mönnum	manna											maður.mp3
